=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::rsqrt         0.55%       2.198ms         0.87%       3.439ms      11.313us     518.527us         0.16%     518.527us       1.706us           304  
                                            aten::fill_         0.35%       1.371ms         0.75%       2.959ms      30.826us     183.840us         0.06%     183.840us       1.915us            96  
                                        aten::transpose         0.43%       1.711ms         0.71%       2.809ms       2.141us       0.000us         0.00%       0.000us       0.000us          1312  
                                        aten::expand_as         0.13%     500.307us         0.61%       2.408ms       4.703us       0.000us         0.00%       0.000us       0.000us           512  
                                             aten::silu         0.39%       1.529ms         0.56%       2.206ms      17.234us     369.533us         0.11%     369.533us       2.887us           128  
                                           aten::expand         0.45%       1.781ms         0.51%       2.031ms       3.627us       0.000us         0.00%       0.000us       0.000us           560  
                                            aten::empty         0.40%       1.595ms         0.41%       1.628ms       3.913us       0.000us         0.00%       0.000us       0.000us           416  
                                 aten::split_with_sizes         0.33%       1.294ms         0.41%       1.625ms       6.347us       0.000us         0.00%       0.000us       0.000us           256  
                                       aten::empty_like         0.09%     342.113us         0.36%       1.412ms       8.828us       0.000us         0.00%       0.000us       0.000us           160  
                                           aten::select         0.29%       1.141ms         0.33%       1.295ms       4.760us       0.000us         0.00%       0.000us       0.000us           272  
                                     aten::_unsafe_view         0.26%       1.024ms         0.26%       1.024ms       1.104us       0.000us         0.00%       0.000us       0.000us           928  
                                        aten::unsqueeze         0.18%     728.894us         0.25%     974.924us       2.176us       0.000us         0.00%       0.000us       0.000us           448  
                            cudaStreamGetCaptureInfo_v2         0.16%     651.837us         0.16%     651.837us       0.566us       0.000us         0.00%       0.000us       0.000us          1152  
                                            aten::zero_         0.03%     127.185us         0.16%     637.078us      19.909us       0.000us         0.00%      63.746us       1.992us            32  
                                Activity Buffer Request         0.16%     633.691us         0.16%     633.691us     316.845us       1.024us         0.00%       1.024us       0.512us             2  
                                        aten::embedding         0.02%      86.672us         0.15%     606.303us      37.894us       0.000us         0.00%      70.368us       4.398us            16  
                                              aten::bmm         0.09%     366.668us         0.12%     494.173us      30.886us      38.367us         0.01%      38.367us       2.398us            16  
                                       cudaGraphDestroy         0.12%     471.452us         0.12%     471.452us      14.733us       0.000us         0.00%       0.000us       0.000us            32  
                                     aten::index_select         0.05%     182.293us         0.12%     469.877us      29.367us      70.368us         0.02%      70.368us       4.398us            16  
                                  cudaStreamIsCapturing         0.12%     458.601us         0.12%     458.601us       0.756us       0.000us         0.00%       0.000us       0.000us           607  
                                           aten::argmax         0.06%     226.687us         0.09%     368.698us      23.044us     289.788us         0.09%     289.788us      18.112us            16  
                                              aten::cat         0.05%     216.666us         0.08%     327.374us      20.461us      51.520us         0.02%      51.520us       3.220us            16  
                                   cudaFuncSetAttribute         0.07%     264.487us         0.07%     264.487us       2.066us       0.000us         0.00%       0.000us       0.000us           128  
                                              aten::cos         0.04%     139.693us         0.06%     220.724us      13.795us      54.174us         0.02%      54.174us       3.386us            16  
                                 cudaDeviceGetAttribute         0.05%     194.734us         0.05%     194.734us       0.507us       0.000us         0.00%       0.000us       0.000us           384  
                                              aten::sin         0.03%     106.480us         0.05%     183.910us      11.494us      51.360us         0.02%      51.360us       3.210us            16  
                                 cudaStreamBeginCapture         0.04%     173.249us         0.04%     173.249us       5.414us       0.000us         0.00%       0.000us       0.000us            32  
                                      aten::result_type         0.04%     162.150us         0.04%     162.150us       0.533us       0.000us         0.00%       0.000us       0.000us           304  
                                   cudaStreamEndCapture         0.04%     143.795us         0.04%     143.795us       4.494us       0.000us         0.00%       0.000us       0.000us            32  
                                        cudaEventRecord         0.03%     135.072us         0.03%     135.072us       2.111us       0.000us         0.00%       0.000us       0.000us            64  
                                    cudaStreamWaitEvent         0.03%     118.206us         0.03%     118.206us       1.847us       0.000us         0.00%       0.000us       0.000us            64  
                                           Buffer Flush         0.03%     111.616us         0.03%     111.776us     111.776us       0.000us         0.00%       0.000us       0.000us             1  
                    cudaThreadExchangeStreamCaptureMode         0.02%      64.020us         0.02%      64.020us       1.000us       0.000us         0.00%       0.000us       0.000us            64  
                                      cudaGraphGetNodes         0.01%      58.295us         0.01%      58.295us       1.822us       0.000us         0.00%       0.000us       0.000us            32  
                                          aten::resize_         0.01%      54.882us         0.01%      54.882us       3.430us       0.000us         0.00%       0.000us       0.000us            16  
                                   cudaDriverGetVersion         0.01%      46.773us         0.01%      46.773us       0.086us       0.000us         0.00%       0.000us       0.000us           544  
                                          aten::detach_         0.00%      18.831us         0.01%      31.445us       1.965us       0.000us         0.00%       0.000us       0.000us            16  
                                                detach_         0.00%      12.614us         0.00%      12.614us       0.788us       0.000us         0.00%       0.000us       0.000us            16  
                                       aten::lift_fresh         0.00%       3.655us         0.00%       3.655us       0.228us       0.000us         0.00%       0.000us       0.000us            16  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      20.608us         0.01%      20.608us       1.288us            16  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      70.368us         0.02%      70.368us       4.398us            16  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.519ms         2.00%       6.519ms       5.030us          1296  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us      38.367us         0.01%      38.367us       2.398us            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      51.520us         0.02%      51.520us       3.220us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.174us         0.02%      54.174us       3.386us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.329us         0.02%      59.329us       1.854us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      51.360us         0.02%      51.360us       3.210us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.637ms         0.81%       2.637ms       2.035us          1296  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.572ms         0.48%       1.572ms       3.069us           512  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.182ms         1.28%       4.182ms       2.420us          1728  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      71.458us         0.02%      71.458us       2.233us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.474ms         0.76%       2.474ms       1.957us          1264  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.274ms         1.62%       5.274ms       4.173us          1264  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 396.242ms
Self CUDA time total: 325.987ms

