=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::_unsafe_view         0.26%       1.297ms         0.26%       1.297ms       1.398us       0.000us         0.00%       0.000us       0.000us           928  
                                        aten::unsqueeze         0.18%     890.489us         0.22%       1.135ms       2.533us       0.000us         0.00%       0.000us       0.000us           448  
                                  cudaStreamIsCapturing         0.21%       1.073ms         0.21%       1.073ms       0.884us       0.000us         0.00%       0.000us       0.000us          1214  
                                Activity Buffer Request         0.14%     731.022us         0.14%     731.022us     365.511us       2.784us         0.00%       2.784us       1.392us             2  
                                        aten::embedding         0.02%      94.107us         0.13%     631.476us      39.467us       0.000us         0.00%      64.638us       4.040us            16  
                                      aten::result_type         0.11%     535.429us         0.11%     535.429us       0.515us       0.000us         0.00%       0.000us       0.000us          1040  
                                              aten::bmm         0.08%     392.166us         0.10%     522.717us      32.670us      35.583us         0.01%      35.583us       2.224us            16  
                            cudaStreamGetCaptureInfo_v2         0.10%     517.449us         0.10%     517.449us       0.851us       0.000us         0.00%       0.000us       0.000us           608  
                                     aten::index_select         0.04%     194.533us         0.10%     488.371us      30.523us      64.638us         0.02%      64.638us       4.040us            16  
                                           aten::argmax         0.05%     233.731us         0.07%     376.755us      23.547us     263.871us         0.08%     263.871us      16.492us            16  
                                       cudaGraphDestroy         0.07%     366.345us         0.07%     366.345us       5.724us       0.000us         0.00%       0.000us       0.000us            64  
                                   cudaFuncSetAttribute         0.07%     357.321us         0.07%     357.321us       2.792us       0.000us         0.00%       0.000us       0.000us           128  
                                              aten::cat         0.05%     230.033us         0.07%     346.721us      21.670us      47.744us         0.02%      47.744us       2.984us            16  
                                        cudaEventRecord         0.07%     345.284us         0.07%     345.284us       2.698us       0.000us         0.00%       0.000us       0.000us           128  
                                 cudaStreamBeginCapture         0.06%     320.425us         0.06%     320.425us       5.007us       0.000us         0.00%       0.000us       0.000us            64  
                                    cudaStreamWaitEvent         0.06%     310.015us         0.06%     310.015us       2.422us       0.000us         0.00%       0.000us       0.000us           128  
                                 cudaDeviceGetAttribute         0.05%     266.868us         0.05%     266.868us       0.695us       0.000us         0.00%       0.000us       0.000us           384  
                                              aten::cos         0.03%     146.074us         0.05%     230.296us      14.394us      49.888us         0.02%      49.888us       3.118us            16  
