=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::view         2.06%       9.210ms         2.06%       9.210ms       1.480us       0.000us         0.00%       0.000us       0.000us          6224  
                                             aten::silu         1.24%       5.561ms         1.97%       8.825ms      17.237us       1.967ms         1.01%       1.967ms       3.843us           512  
                                         cuLaunchKernel         1.48%       6.632ms         1.48%       6.632ms       6.477us       0.000us         0.00%       0.000us       0.000us          1024  
                                        cudaMemcpyAsync         1.43%       6.374ms         1.43%       6.374ms      12.072us       0.000us         0.00%       0.000us       0.000us           528  
                                 aten::split_with_sizes         1.08%       4.817ms         1.36%       6.072ms       5.930us       0.000us         0.00%       0.000us       0.000us          1024  
                                            aten::empty         1.07%       4.764ms         1.07%       4.764ms       3.038us       0.000us         0.00%       0.000us       0.000us          1568  
                                     aten::_unsafe_view         0.93%       4.163ms         0.93%       4.163ms       1.151us       0.000us         0.00%       0.000us       0.000us          3616  
                                       aten::empty_like         0.21%     953.448us         0.91%       4.085ms       7.978us       0.000us         0.00%       0.000us       0.000us           512  
                                        cudaMemsetAsync         0.75%       3.362ms         0.75%       3.362ms       6.565us       0.000us         0.00%       0.000us       0.000us           512  
                                        aten::unsqueeze         0.52%       2.328ms         0.68%       3.038ms       1.899us       0.000us         0.00%       0.000us       0.000us          1600  
                                Activity Buffer Request         0.58%       2.600ms         0.58%       2.600ms       1.300ms      15.616us         0.01%      15.616us       7.808us             2  
                                           aten::select         0.40%       1.808ms         0.45%       2.019ms       3.823us       0.000us         0.00%       0.000us       0.000us           528  
                                        aten::expand_as         0.11%     509.060us         0.45%       2.013ms       3.931us       0.000us         0.00%       0.000us       0.000us           512  
                                           aten::expand         0.31%       1.375ms         0.37%       1.633ms       2.917us       0.000us         0.00%       0.000us       0.000us           560  
                                  cudaStreamSynchronize         0.25%       1.121ms         0.25%       1.121ms      70.074us       0.000us         0.00%       0.000us       0.000us            16  
                                 cudaDeviceGetAttribute         0.23%       1.013ms         0.23%       1.013ms       0.396us       0.000us         0.00%       0.000us       0.000us          2560  
                                   cudaFuncSetAttribute         0.17%     778.757us         0.17%     778.757us       1.521us       0.000us         0.00%       0.000us       0.000us           512  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.14%     615.687us         0.14%     615.687us       1.203us       0.000us         0.00%       0.000us       0.000us           512  
                                        aten::embedding         0.02%      84.183us         0.13%     581.523us      36.345us       0.000us         0.00%      65.531us       4.096us            16  
                                              aten::bmm         0.08%     353.632us         0.11%     478.955us      29.935us      36.607us         0.02%      36.607us       2.288us            16  
                                     aten::index_select         0.04%     172.319us         0.10%     448.881us      28.055us      65.531us         0.03%      65.531us       4.096us            16  
                                      aten::result_type         0.09%     415.050us         0.09%     415.050us       0.399us       0.000us         0.00%       0.000us       0.000us          1040  
                                           aten::argmax         0.05%     223.301us         0.08%     376.648us      23.540us     283.405us         0.14%     283.405us      17.713us            16  
                                              aten::cat         0.05%     211.248us         0.07%     323.977us      20.249us      47.037us         0.02%      47.037us       2.940us            16  
                                              aten::cos         0.03%     138.945us         0.05%     215.416us      13.463us      48.925us         0.02%      48.925us       3.058us            16  
                                              aten::sin         0.02%     102.471us         0.04%     174.924us      10.933us      46.142us         0.02%      46.142us       2.884us            16  
                                  cudaDeviceSynchronize         0.02%      85.428us         0.02%      85.428us      85.428us       0.000us         0.00%       0.000us       0.000us             1  
                                           Buffer Flush         0.01%      60.882us         0.01%      60.882us      60.882us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::resize_         0.01%      54.232us         0.01%      54.232us       3.389us       0.000us         0.00%       0.000us       0.000us            16  
                                          aten::detach_         0.00%      16.820us         0.01%      28.471us       1.779us       0.000us         0.00%       0.000us       0.000us            16  
                                                detach_         0.00%      11.651us         0.00%      11.651us       0.728us       0.000us         0.00%       0.000us       0.000us            16  
                                       aten::lift_fresh         0.00%       3.132us         0.00%       3.132us       0.196us       0.000us         0.00%       0.000us       0.000us            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.250ms         2.68%       5.250ms       5.048us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.055ms         1.05%       2.055ms       1.976us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.315ms         1.18%       2.315ms       2.226us          1040  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.688ms         1.88%       3.688ms       3.546us          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.613ms         1.34%       2.613ms       2.442us          1070  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.207ms         2.15%       4.207ms       2.711us          1552  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     707.739us         0.36%     707.739us       1.382us           512  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      18.022ms         9.21%      18.022ms      35.199us           512  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      53.881ms        27.53%      53.881ms      17.539us          3072  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.462ms         0.75%       1.462ms       2.856us           512  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.034ms         0.53%       1.034ms       2.020us           512  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      11.319ms         5.78%      11.319ms      22.107us           512  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       3.402ms         1.74%       3.402ms       6.644us           512  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       9.844ms         5.03%       9.844ms      19.227us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.745ms         1.40%       2.745ms       2.681us          1024  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.736ms         2.93%       5.736ms       5.366us          1069  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.543ms         1.30%       2.543ms       2.448us          1039  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      33.014ms        16.87%      33.014ms      32.241us          1024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.967ms         1.01%       1.967ms       3.843us           512  
void gemv2T_kernel_val<int, int, __nv_bfloat16, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      24.388ms        12.46%      24.388ms      47.633us           512  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.298ms         1.17%       2.298ms       4.489us           512  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.528ms         1.29%       2.528ms     158.000us            16  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     121.240us         0.06%     121.240us       7.578us            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     283.405us         0.14%     283.405us      17.713us            16  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      18.433us         0.01%      18.433us       1.229us            15  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      65.531us         0.03%      65.531us       4.369us            15  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us      36.607us         0.02%      36.607us       2.440us            15  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      47.037us         0.02%      47.037us       3.136us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.925us         0.02%      48.925us       3.262us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.629us         0.03%      53.629us       1.788us            30  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 447.187ms
Self CUDA time total: 195.742ms

