=== OP PROFILE: flashsvd / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      51.198us         0.03%      51.198us       3.200us           0 b           0 b           0 b           0 b            16  
                                              aten::cos         0.14%     130.071us         0.24%     215.117us      13.445us      49.216us         0.03%      49.216us       3.076us           0 b           0 b       8.00 Kb       8.00 Kb            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      49.216us         0.03%      49.216us       3.076us           0 b           0 b           0 b           0 b            16  
                                              aten::pow         0.20%     178.652us         0.29%     267.013us      16.688us      39.199us         0.02%      39.199us       2.450us           0 b           0 b     256.00 Kb     256.00 Kb            16  
                                              aten::bmm         0.38%     340.368us         0.52%     468.246us      29.265us      37.216us         0.02%      37.216us       2.326us           0 b           0 b       8.00 Kb       8.00 Kb            16  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us      37.216us         0.02%      37.216us       2.326us           0 b           0 b           0 b           0 b            16  
                                            aten::rsqrt         0.11%      95.835us         0.18%     163.168us      10.198us      33.056us         0.02%      33.056us       2.066us           0 b           0 b       8.00 Kb       8.00 Kb            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 90.617ms
Self CUDA time total: 159.603ms

=== OP PROFILE: flashsvd / DECODE / CPU ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        10.97%       9.943ms        45.76%      41.464ms      19.196us       5.262ms         3.30%       5.265ms       2.437us           0 b           0 b           0 b           0 b          2160  
                                        cudaGraphLaunch        29.90%      27.097ms        29.90%      27.097ms      52.924us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           512  
                                               aten::to         0.69%     623.844us        28.16%      25.519ms      37.092us       0.000us         0.00%       1.654ms       2.403us           0 b           0 b     680.00 Kb           0 b           688  
                                         aten::_to_copy         2.03%       1.837ms        27.47%      24.895ms      39.896us       0.000us         0.00%       1.654ms       2.650us           0 b           0 b     680.00 Kb           0 b           624  
                                        cudaMemcpyAsync        15.04%      13.633ms        15.04%      13.633ms       8.784us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1552  
                                            aten::clone         1.41%       1.278ms        12.46%      11.294ms      22.059us       0.000us         0.00%       1.382ms       2.698us           0 b           0 b       4.00 Mb           0 b           512  
                                  cudaStreamSynchronize         9.93%       8.994ms         9.93%       8.994ms     562.117us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                       cudaLaunchKernel         7.53%       6.821ms         7.53%       6.821ms       7.894us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           864  
                                    aten::empty_strided         6.63%       6.006ms         6.63%       6.006ms       5.287us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.66 Mb       4.66 Mb          1136  
                                Activity Buffer Request         3.93%       3.562ms         3.93%       3.562ms       1.781ms       3.008us         0.00%       3.008us       1.504us           0 b           0 b           0 b           0 b             2  
                                            aten::slice         1.86%       1.686ms         2.74%       2.482ms       2.154us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1152  
                                          aten::reshape         1.17%       1.057ms         2.19%       1.980ms       1.820us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1088  
                                           aten::matmul         0.27%     247.608us         1.62%       1.472ms      46.014us       0.000us         0.00%       2.713ms      84.792us           0 b           0 b    1008.00 Kb           0 b            32  
                                        aten::expand_as         0.47%     430.371us         1.48%       1.345ms       2.626us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           512  
                                       aten::as_strided         1.19%       1.078ms         1.19%       1.078ms       0.591us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1824  
                                           aten::expand         0.90%     817.578us         1.15%       1.042ms       1.862us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           560  
                                             aten::view         1.03%     933.189us         1.03%     933.189us       0.845us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1104  
                                  cudaDeviceSynchronize         0.90%     814.875us         0.90%     814.875us     814.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::linear         0.04%      38.839us         0.89%     810.034us      50.627us       0.000us         0.00%       2.676ms     167.258us           0 b           0 b    1000.00 Kb           0 b            16  
                                              aten::mul         0.53%     480.093us         0.84%     762.698us      11.917us     157.949us         0.10%     157.949us       2.468us           0 b           0 b     400.00 Kb     400.00 Kb            64  
                                               aten::mm         0.41%     368.959us         0.63%     573.699us      35.856us       2.676ms         1.68%       2.676ms     167.258us           0 b           0 b    1000.00 Kb    1000.00 Kb            16  
                                        aten::embedding         0.07%      64.276us         0.62%     558.943us      34.934us       0.000us         0.00%      74.848us       4.678us           0 b           0 b     128.00 Kb           0 b            16  
                                              aten::bmm         0.38%     340.368us         0.52%     468.246us      29.265us      37.216us         0.02%      37.216us       2.326us           0 b           0 b       8.00 Kb       8.00 Kb            16  
                                     aten::index_select         0.19%     172.395us         0.50%     449.509us      28.094us      74.848us         0.05%      74.848us       4.678us           0 b           0 b     128.00 Kb           0 b            16  
                                           aten::argmax         0.23%     212.072us         0.38%     340.048us      21.253us     292.538us         0.18%     292.538us      18.284us           0 b           0 b       8.00 Kb       8.00 Kb            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 90.617ms
Self CUDA time total: 159.603ms

