=== OP PROFILE: static / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         0.58%       2.337ms         2.39%       9.715ms      33.272us       3.947ms         7.39%       3.995ms      13.680us           0 b           0 b       1.60 Gb       1.60 Gb           292  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 405.946ms
Self CUDA time total: 53.418ms

=== OP PROFILE: static / DECODE ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        18.40%     101.678ms        27.10%     149.739ms      20.843us     123.218ms        57.15%     123.233ms      17.154us           0 b           0 b      50.98 Mb      50.98 Mb          7184  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      63.049ms        29.24%      63.049ms      17.592us           0 b           0 b           0 b           0 b          3584  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      57.495ms        26.66%      57.495ms      16.042us           0 b           0 b           0 b           0 b          3584  
                     aten::_efficient_attention_forward         0.87%       4.830ms         2.43%      13.421ms      26.213us      23.692ms        10.99%      23.692ms      46.274us       8.00 Kb         312 b       4.00 Mb           0 b           512  
fmha_cutlassF_bf16_aligned_64x128_rf_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us      23.692ms        10.99%      23.692ms      46.274us           0 b           0 b           0 b           0 b           512  
                                              aten::mul         6.22%      34.369ms        10.01%      55.323ms      11.841us      17.607ms         8.17%      17.607ms       3.769us           0 b           0 b      51.14 Mb      51.14 Mb          4672  
                                            aten::copy_         2.66%      14.700ms         6.36%      35.111ms      13.140us       9.781ms         4.54%       9.782ms       3.661us           0 b           0 b           0 b           0 b          2672  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.266ms         4.30%       9.266ms       4.525us           0 b           0 b           0 b           0 b          2048  
                                              aten::add         4.29%      23.698ms         6.94%      38.328ms      12.412us       7.477ms         3.47%       7.477ms       2.421us           0 b           0 b      16.51 Mb      16.51 Mb          3088  
                                              aten::cat         1.97%      10.903ms         2.91%      16.091ms      15.472us       6.405ms         2.97%       6.405ms       6.159us           0 b           0 b       8.01 Mb       8.01 Mb          1040  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       6.353ms         2.95%       6.353ms       6.205us           0 b           0 b           0 b           0 b          1024  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.679ms         2.63%       5.679ms       5.298us           0 b           0 b           0 b           0 b          1072  
