=== OP PROFILE: densekv / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::add         4.12%      23.108ms         6.76%      37.868ms      12.263us       7.078ms         3.17%       7.078ms       2.292us           0 b           0 b      12.51 Mb      12.51 Mb          3088  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       7.075ms         3.17%       7.075ms      13.819us           0 b           0 b           0 b           0 b           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.008ms         3.14%       7.008ms       2.281us           0 b           0 b           0 b           0 b          3072  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.746ms         2.57%       5.746ms       5.360us           0 b           0 b           0 b           0 b          1072  
                                             aten::mean         1.88%      10.544ms         2.80%      15.700ms      15.097us       5.408ms         2.42%       5.414ms       5.205us           0 b           0 b     520.00 Kb     519.50 Kb          1040  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.408ms         2.42%       5.408ms       5.200us           0 b           0 b           0 b           0 b          1040  
                                      aten::index_copy_         1.41%       7.911ms         2.53%      14.195ms      13.862us       5.047ms         2.26%       5.047ms       4.929us           0 b           0 b           0 b           0 b          1024  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.047ms         2.26%       5.047ms       4.929us           0 b           0 b           0 b           0 b          1024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.455ms         1.99%       4.455ms       2.870us           0 b           0 b           0 b           0 b          1552  
                                              aten::cat         1.70%       9.505ms         2.66%      14.907ms      14.334us       4.246ms         1.90%       4.246ms       4.083us           0 b           0 b       8.01 Mb       8.01 Mb          1040  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.194ms         1.88%       4.194ms       4.096us           0 b           0 b           0 b           0 b          1024  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.705ms         1.66%       3.705ms       3.563us           0 b           0 b           0 b           0 b          1040  
                                     aten::index_select         1.51%       8.434ms         3.98%      22.289ms      21.431us       3.693ms         1.65%       3.697ms       3.554us           0 b           0 b     640.00 Kb           0 b          1040  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       3.693ms         1.65%       3.693ms       3.551us           0 b           0 b           0 b           0 b          1040  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       3.667ms         1.64%       3.667ms       7.162us           0 b           0 b           0 b           0 b           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.732ms         1.22%       2.732ms       2.548us           0 b           0 b           0 b           0 b          1072  
                                              aten::pow         1.78%       9.960ms         3.09%      17.290ms      16.625us       2.632ms         1.18%       2.634ms       2.533us           0 b           0 b      16.25 Mb      16.25 Mb          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.632ms         1.18%       2.632ms       2.530us           0 b           0 b           0 b           0 b          1040  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.544ms         1.14%       2.544ms     159.019us           0 b           0 b           0 b           0 b            16  
                                            aten::rsqrt         1.07%       6.020ms         1.86%      10.445ms      10.043us       2.301ms         1.03%       2.301ms       2.212us           0 b           0 b     520.00 Kb     520.00 Kb          1040  
